trait(1),trait(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
trait(1),trait(2),edu_contents,edu_contents,edu_contents,edu_contents,edu_contents,edu_method,edu_method,edu_method,edu_method,edu_method,peer_relation,peer_relation,peer_relation,peer_relation,peer_relation,teacher_relation,teacher_relation,teacher_relation,teacher_relation,teacher_relation,school_facility,school_facility,school_facility,school_facility,school_facility,school_facility,school_circum,school_circum,school_circum,school_circum,school_circum,school_circum,talent,talent,talent,talent,talent,talent,major,major,major,major,major,major,overall,overall,overall,overall,overall
trait(1),trait(2),very stis,little stis,common,little unstis,very unstis,very stis,little stis,common,little unstis,very unstis,very stis,little stis,common,little unstis,very unstis,very stis,little stis,common,little unstis,very unstis,very stis,little stis,common,little unstis,very unstis,none,very stis,little stis,common,little unstis,very unstis,none,very stis,little stis,common,little unstis,very unstis,none,very stis,little stis,common,little unstis,very unstis,none,very stis,little stis,common,little unstis,very unstis
region,Imsil,6.1,46.3,46.2,1.4,-,6.5,43.5,49.6,0.5,-,13.7,36.2,49.6,0.5,-,12.1,36.3,47,4.6,-,4.5,36.3,53.6,5.1,0.5,-,5.2,35.6,53.6,2.6,3,-,4.9,38.7,51.9,4.1,0.5,-,2,15.1,18.1,2.5,0.4,61.9,9.2,41.4,48.9,0.5,-
region,Sunchang,19.1,36.7,40.3,3.2,0.7,15.8,40.1,36.6,6.2,1.4,22.1,47.7,29.1,0.8,0.4,16.4,43.4,37,2.9,0.4,15.5,37,42.5,5,-,-,14.8,36.1,44.6,4.1,0.4,-,14.6,32.8,43.3,8.7,0.6,-,13.5,22.8,42.4,4.9,1.7,14.7,16.8,41.2,38.3,3.3,0.4
region,Gochang,6.2,55.3,35.1,3.4,-,5.7,55,30.1,9.2,-,16.8,60.2,18.9,3.9,0.3,13.4,49.8,33.4,3.4,-,7.4,45.9,37.7,8.5,0.4,-,9.5,44.4,39.8,6.3,-,-,7.6,46.6,38,7.1,0.7,-,3.8,14.8,13.4,1.3,-,66.6,10.5,47.8,38.5,3.1,-
region,Buan,10.4,42.4,42.9,3.1,1.2,7.4,42.5,41.1,7.1,2,16,47.5,31.8,4.3,0.4,10.3,35.9,47.3,4.8,1.7,7.8,36.8,49.1,4.4,2,-,5.4,27.8,50.7,14.7,1.4,-,7.6,28.3,51.8,9.1,3.2,-,8.9,17.3,31.2,9.2,1.3,32,12.2,35.1,47.7,3.6,1.5
target,Householder,10.3,42.9,42.2,4,0.7,10.3,40,42.8,5.7,1.2,17.3,45.8,33.8,2.7,0.4,11.3,42.2,41.8,4.3,0.5,10.4,38.5,41.1,7.6,1.1,1.2,8.5,35.4,44.3,9.2,1.3,1.2,7.5,33.7,44.6,12.1,1.9,0.1,4.3,20.1,25.8,4.3,0.9,44.6,9.5,42.2,44.8,3.1,0.4
target,Household,9.9,40.9,40.9,6.7,1.6,9.8,37.6,42.3,8.3,2,19.4,44.9,31.9,3,0.8,12.2,36.4,44.2,6.1,1.1,8.9,34.8,43.5,10.4,1.7,0.7,8,32.5,45,11.9,2,0.6,7.3,28.1,48.1,14,2.4,0.1,5,19.3,26,6.9,1,41.8,10,37.5,45.6,5.4,1.6
sex,man,10.6,41.2,41.2,5.7,1.3,10.9,38.7,41.6,6.9,1.9,19.9,43.5,33.2,2.8,0.6,12.2,39.6,41.9,5.6,0.7,10.6,36.2,41.6,9.4,1.4,0.9,8.9,33.6,43.7,10.9,1.9,0.9,8,31.7,44.8,13.1,2.3,0.1,5.2,20.3,25.5,6,1.2,41.9,10.5,39.2,44.8,4.4,1.1
sex,Woman,9.5,42.4,41.7,5.3,1.1,9.1,38.6,43.5,7.4,1.4,16.9,47.2,32.2,3,0.6,11.4,38.3,44.4,5,1,8.5,36.7,43.4,8.9,1.5,0.9,7.5,34,45.6,10.5,1.5,0.9,6.8,29.4,48.5,13.2,2,0.1,4.1,19,26.4,5.5,0.7,44.2,9,39.9,45.7,4.4,1
age,15-19,11.5,36.2,42.7,6.9,2.7,11.6,30.6,44,10.1,3.7,24.9,42.9,27.9,3.6,0.6,14.6,31.8,45.3,6.8,1.4,10.7,29.5,46.1,11,2.7,-,10.1,27.8,44.4,15,2.6,-,9.6,23.8,45.9,17,3.8,-,6.7,14.3,21.6,6.3,1,50,13.3,32.3,45.3,6.3,2.9
age,20-29,11.8,42.4,38.3,6.5,1.1,10.4,41.1,39.4,8,1,21,44.6,30.8,2.9,0.8,11.5,37.3,42.1,8.3,0.7,7.7,38,40.2,12.1,1.4,0.5,6.5,37.9,39.8,13.2,2.1,0.5,6.8,34.9,45.9,11.2,1.2,-,9.4,36.2,39.7,10.2,1.1,3.6,7.9,45.9,40,5.4,0.7
age,30-39,12.7,43.9,39.7,2.9,0.8,13.6,39.3,42.4,3.8,0.9,20.3,42.8,33.5,3.2,0.2,14.9,41.8,37.6,5.2,0.5,13.7,36.5,38.6,9.5,1.4,0.4,11.1,36.3,40.9,9.4,1.6,0.7,11.2,32.2,44.8,10.1,1.7,-,1.9,9.8,14.2,2.5,0.3,71.3,13.2,39,44.3,2.8,0.8
age,40-49,9.6,40.8,42.8,6,0.8,9.9,38.5,43.3,7,1.3,16.4,46.7,33.8,2.8,0.3,11.4,40.3,43.2,4.4,0.7,8.8,38.4,43,8.2,1.3,0.2,7.7,33.9,47,9.6,1.5,0.2,5.7,29.5,48.6,13.8,2.1,0.3,2.6,14.6,21.6,5,0.9,55.2,8.9,40.4,45.9,4.1,0.6
age,50-59,6.4,45.5,42.1,5,1,6.1,42.3,43,7.2,1.4,13.7,46.1,36.4,2.4,1.3,7.7,42.1,45.8,3.7,0.8,8.6,38.6,43.3,7.3,0.8,1.4,6.6,34.8,47.8,8.5,1,1.3,6.1,33.5,44.9,13.6,2,-,4.9,28.3,35.7,6.4,1.4,23.2,7.2,39.6,48.9,3.7,0.6
age,60,8,52.9,37.9,0.3,1,7.3,51.9,39.2,0.6,1,10.8,54,33.3,0.8,1.1,11.3,43.8,42.2,1.8,0.9,9.4,33.2,38.9,4.1,0.8,13.6,7.8,31,41.6,5.2,0.8,13.6,8.8,37.5,48.1,3.5,1.3,0.7,4.2,20.8,28.2,0.9,1,44.9,9.1,41.9,46.2,1.9,1
regidence,House,10.3,45.1,40.9,2.6,1.1,9.8,42.1,42.8,4.2,1.1,16.2,49.4,31.9,2,0.5,10.4,44,41.2,3.7,0.6,9.1,40.9,41.1,5.1,1,2.7,7.5,37.5,43.8,7.6,0.9,2.8,8,35.2,46.4,9.2,1,0.1,5.7,22,30.9,4.1,0.7,36.6,9.2,43.8,44.1,1.9,1
regidence,Apartment,9.4,40.3,42.3,6.7,1.3,9.6,37,43.3,8.2,1.9,19.1,43.5,33.5,3.2,0.7,11.7,37.1,44.4,5.8,0.9,9.6,34.2,43.5,10.8,1.7,0.3,8.2,31.6,45.8,12.2,1.9,0.3,6.8,28.4,47.6,14.6,2.5,0.1,3.8,18.2,24.3,6.2,1,46.4,9.8,37.4,46.2,5.5,1.1
regidence,multi-family House,15.7,45.2,35.2,3.2,0.8,15.5,42,34.4,7.1,0.9,19.6,51.6,26,2,0.8,18.8,40.8,35.9,3.6,0.9,11.5,45.5,36.3,5.4,1.4,-,11.3,45.5,35.4,5.5,2.2,-,11.6,38.5,35.3,12.1,2.5,-,9.3,27.2,24.1,7.9,0.6,31,13.1,46.2,38.5,1.4,0.8
regidence,Etc,15.6,45.9,26.3,11.7,0.5,13,49.5,27.1,10.4,-,24.4,34.9,34.6,5.6,0.5,12.7,30.5,40.8,15.6,0.5,13.3,27,40.7,18.5,0.5,-,12.8,25.4,37.8,17.8,6.1,-,12.1,22.2,46.4,14.1,5.3,-,11.7,19.7,23.1,2.9,4.2,38.4,3.6,48.2,41.2,4.3,2.7
possesion,self,9.5,41.7,41.3,6.1,1.3,9.5,38.7,42.4,7.6,1.8,18.6,45.5,32.7,2.8,0.5,11.4,38.7,43.7,5.4,0.9,9.3,35.2,43.6,9.4,1.4,1.1,8.1,32.5,46.1,10.9,1.5,1.1,6.9,29.1,47.8,13.8,2.2,0.1,4,19.6,25.2,6.3,1,44,9.8,38.2,46,4.8,1.2
possesion,charter,8.7,42.1,42.6,5.2,1.4,10.4,38.5,41.4,8.2,1.4,17.8,43.3,34.9,1.9,2,11.5,39.4,43.4,4.9,0.8,8.5,35,45,9.6,1.7,0.2,8.9,33.4,43.6,11.7,2.2,0.2,7.2,31.6,44.2,14.4,2.6,-,3.7,13.9,29.6,6,1,45.7,8,40.8,45.9,4.2,1
possesion,Rnet,12.7,42.6,41.2,2.8,0.7,11.6,37.2,45.8,3.9,1.5,18.4,48.8,29.8,2.7,0.3,13.5,40.6,40.8,4.2,0.9,11.2,43.2,36.5,7,1.8,0.3,8.9,39.5,39.9,8.4,2.9,0.3,9.2,35.1,44.6,9.3,1.7,0.1,7.6,21.4,26.7,3.4,0.8,40.1,11,44.1,41.1,2.9,0.9
possesion,Sage,14.6,39.2,39,6.5,0.6,12.9,44.4,34.7,7.4,0.6,16.1,43.7,35.2,5,-,12.9,42.1,31.6,12.8,0.6,9.3,41.4,33.4,15.4,0.3,0.2,9.4,39.2,34.5,16.6,-,0.2,10.7,39.1,32.9,15,2.3,-,6.7,31.3,30.3,6.7,1,24,11.5,45.3,40.2,2.7,0.3
possesion,Free rental,11.7,39.8,43.7,4.7,0.1,10.3,41.6,41,7.1,0.1,20.8,31.5,39.1,8.5,-,13.6,32,49.9,4.4,-,12.7,35.4,42,6,2,2,5.3,38.3,42.8,10,1.6,2,9.2,36.9,43.5,8.4,2.1,-,9.1,24.4,24.7,1.8,1.1,38.9,8.5,42.3,46.4,2.8,0.1
generation,1st households,8.1,47.1,37.8,6.9,0.1,6.9,38.2,44.4,10.2,0.3,13.4,43.7,38.4,3.4,1.1,11.6,37,49.9,1.4,0.1,10.3,28.9,44.4,5.7,0.8,9.9,8.1,23.4,50.1,7.7,0.8,9.9,8.7,31.6,44.2,15.4,0.1,-,7,29.1,32.6,9.5,0.2,21.6,9,38.1,47.4,5.3,0.2
